,features,mutual_information
0,Climatic_Zone_0,0.20931362884609803
1,Climatic_Zone_1,0.002312982478759553
2,Climatic_Zone_2,0.08762512883909533
3,Climatic_Zone_3,0.029918481020204002
4,Climatic_Zone_4,0.020477242661016647
5,Climatic_Zone_5,0.17536370059352355
6,Climatic_Zone_6,0.1746704899148308
7,Geologic_Zone_0,0.009085321307631416
8,Geologic_Zone_1,0.06269460316668687
9,Geologic_Zone_2,0.002312982478759553
10,Geologic_Zone_3,0.048318043452141364
11,Soil_Type_1,0.06254402124812375
12,Soil_Type_10,0.12534576015923454
13,Soil_Type_11,0.020305368602355746
14,Soil_Type_12,0.048143562801502435
15,Soil_Type_13,0.024263649845306958
16,Soil_Type_14,0.02983095995286048
17,Soil_Type_15,0.002001844894943767
18,Soil_Type_16,0.0033792831217350555
19,Soil_Type_17,0.03162156482124034
20,Soil_Type_18,0.011629766885603632
21,Soil_Type_19,0.006633872778002259
22,Soil_Type_2,0.08120913406442258
23,Soil_Type_20,0.005736245725275195
24,Soil_Type_21,0.010610412126907809
25,Soil_Type_22,0.04677744349214058
26,Soil_Type_23,0.033722210639626056
27,Soil_Type_24,0.011466219615479471
28,Soil_Type_25,0.001992811640991631
29,Soil_Type_26,0.009226500612918569
30,Soil_Type_27,0.0023691475144197484
31,Soil_Type_28,0.007056275131807071
32,Soil_Type_29,0.03829723897725253
33,Soil_Type_3,0.06052247197869981
34,Soil_Type_30,0.023323750408935685
35,Soil_Type_31,0.011222841212325056
36,Soil_Type_32,0.0146230801894747
37,Soil_Type_33,0.012589221780981834
38,Soil_Type_34,0.007476852021100012
39,Soil_Type_35,0.029289760457587473
40,Soil_Type_36,0.005023030333839859
41,Soil_Type_37,0.023606597133200485
42,Soil_Type_38,0.07903667958688075
43,Soil_Type_39,0.07885426430966659
44,Soil_Type_4,0.07961790279893413
45,Soil_Type_40,0.05769759307910134
46,Soil_Type_5,0.04300767442193072
47,Soil_Type_6,0.07313251467164471
48,Soil_Type_7,0.0028363936896610696
49,Soil_Type_8,0.001256144507979798
50,Soil_Type_9,0.005329668743342999
51,Wilderness_Area_1,0.07322444187609452
52,Wilderness_Area_2,0.026925229435239905
53,Wilderness_Area_3,0.007846532390663075
54,Wilderness_Area_4,0.2734687655369072
